Product_id,Product_stock,Product_barcode
953,772,66048763
2907,462,38242199
4914,836,92411579
8691,644,77840806
2609,614,75351397
7739,744,87115871
452,925,58398944
2711,104,93423205
4026,795,22018687
5723,895,39694775
5150,776,95330419
7891,524,60123091
9010,253,91615107
1909,770,17300865
2063,681,45620874
6377,73,45792304
8003,627,41972076
1216,584,45642807
7024,393,8423757
5811,838,92466104
9380,465,37696061
9170,903,71427874
985,982,70638127
2978,186,3008911
3708,567,44217617
5063,754,42851240
6380,862,55909778
247,78,36940226
8470,545,15900425
7856,475,82417307
8079,922,14654619
2879,729,51717605
6378,134,29611133
4725,111,68847791
2667,383,49263510
9853,100,87317640
9094,848,39213761
6136,939,97296683
9039,58,77389305
6832,639,50824922
7572,286,18013207
7581,823,22758682
7629,714,91634894
2153,30,69930027
471,869,17446662
2589,759,45007620
729,807,25609769
9655,763,20099251
9094,925,67109791
8907,154,26418308
8429,250,51007409
4314,287,88684123
7674,555,11611622
3410,251,75415112
7513,640,20351922
3634,838,10450932
5366,324,54203556
1262,655,85291188
9876,826,23583320
4835,552,29061129
3233,80,29645138
728,491,66065739
417,436,21418921
8813,234,66237587
473,323,17340793
9685,369,48926713
8106,314,64014005
9452,504,67145430
5623,363,85183216
6028,353,29838165
4773,379,75922115
4633,539,84576378
3311,325,7427091
801,713,8116055
7451,78,43294312
8265,751,25662726
2426,625,56676334
9728,939,6031251
5281,939,94918458
2945,627,86977470
4294,942,2504025
3705,937,68373597
2489,645,87540802
5738,773,85334441
204,642,30481077
759,251,67771110
6060,390,63791686
8761,133,73245568
707,239,34789780
7951,847,91263346
7372,666,1641950
4774,434,43318452
310,86,92208858
7877,507,26228129
6736,898,93323659
8556,638,19089577
8180,207,27785140
9359,307,54603059
424,428,34524053
6590,782,70030037
8875,405,62376259
1390,256,66064886
3414,529,16620827
6155,476,23028210
526,294,72990452
7060,191,15427380
76,515,47604841
8319,635,84076168
291,757,4943884
6966,334,19539850
1777,965,9092556
1034,146,69620294
5899,458,74931866
6642,586,21291883
1753,378,40644882
862,646,62082969
9250,985,69305825
235,964,70393422
1121,561,78132719
8320,104,65951408
4244,471,66660972
6791,402,45067822
5859,279,1318708
5746,538,62462921
4412,306,22270801
9908,222,91182432
3378,469,48727822
37,937,51379377
3799,618,27808184
9068,663,69597565
2734,697,50220595
4777,415,46092519
7558,644,94497625
645,735,61511057
3899,303,78771086
9282,837,81155170
6787,709,6528225
3567,507,39507600
1968,322,23532670
8572,570,90290626
1219,795,80001997
5987,411,60669537
2980,745,61269514
1899,131,63637694
95,86,85809970
3523,685,61802605
419,828,17972253
9737,20,48155250
1577,612,42954606
7191,450,64635224
2020,864,96711682
9706,580,30827592
3559,541,16425859
8136,159,84365675
9150,898,12209989
7574,867,98149261
1628,95,57517599
8579,573,28818205
646,274,37640927
4209,367,6196530
7672,538,87867428
2378,873,92711761
1052,959,31425124
3439,215,30068971
2022,622,10337448
2860,897,85114968
7318,213,23437548
6761,554,58735565
3589,986,41741726
8122,875,57316673
7256,490,93684736
5180,894,75636098
3093,638,52125034
7353,774,19931739
7505,45,82336677
1131,768,40955575
4152,835,11402923
7333,420,68818173
9612,67,78526464
3370,806,35760702
5468,4,63477238
8467,946,28134817
3016,671,92763678
1706,149,58352885
9435,969,93970372
5401,712,237932
750,38,45732584
9844,893,57123127
3899,831,50063161
9439,108,28746881
2131,800,3695418
5346,345,85274198
7605,166,68539412
8828,313,71876566
9395,162,20163044
7003,262,59388050
9668,872,45251986
7651,444,91819277
542,940,18323634
7931,44,58337523
1399,891,54501904
3056,600,43885718
7443,139,19752433
9260,478,415583
7212,100,82490669
4045,474,58771655
6432,963,76031410
3199,97,58618370
4272,793,2853321
1330,909,28480235
2037,289,82923846
7614,7,62686365
5799,219,1036749
8841,4,12933006
2078,490,29840922
3024,301,48420730
2731,547,27455968
9743,60,93363488
1989,318,88875460
4482,153,34710395
7732,93,32925944
5799,406,92436756
7750,465,10209844
673,405,52272998
6956,811,690287
3483,961,5254774
6394,402,21848698
6443,609,62191272
1677,835,64415888
1788,569,21667053
5652,402,93036009
2296,903,68078287
7694,153,21974441
2752,654,8104229
2422,20,52591150
7679,671,77881151
3882,191,78681323
606,791,21220692
7641,245,45769597
1809,648,80655800
37,671,56938081
3507,382,52547768
9589,796,75207823
3485,954,30799295
3882,114,92866355
9449,326,38957390
1543,499,32482898
2777,883,59318736
1088,533,56500332
8736,62,48476560
7757,14,24987486
235,534,31118095
6156,974,93001410
7861,7,98344222
2561,278,47429437
5401,457,23905870
4974,293,19493022
6077,950,62278089
6210,56,57343150
7746,336,43486120
7083,30,18272642
9239,928,14756801
3146,161,68289201
6436,693,96373613
6662,506,72033319
6217,604,83371318
7964,156,89696477
7258,640,3738306
5920,175,94465419
9088,300,26307428
2172,351,85515338
799,400,66027140
2334,179,75292966
9781,337,22786203
7594,276,51173807
3820,650,74948628
5751,367,98273034
9761,382,22992116
676,934,49601275
3248,749,4331926
3092,370,50469888
7615,598,86341745
9514,525,41527061
1493,220,96799833
9067,850,64377483
6287,138,20354107
7987,636,62135771
8396,349,66591184
9422,38,86736169
5420,140,48185028
7249,452,33597485
9719,591,1534818
8121,264,94031270
849,152,27908600
9949,95,46379887
8858,73,69345852
548,397,45422379
9008,407,94301786
2799,3,95820767
7427,601,3931721
7855,76,94316087
8605,864,3946787
4123,136,56663471
690,831,47266698
8025,19,69250675
3220,330,36095223
8928,39,90320866
4279,76,48027212
5275,751,44609450
218,287,74836161
8895,198,4400097
8196,741,19208213
2979,465,17611770
1598,781,56821802
2492,976,58589861
2224,883,96545850
9625,6,32217728
105,767,2553184
7803,685,31935616
8221,397,50536061
7610,201,40415604
7354,789,58127391
9594,47,925266
6464,405,8378798
4622,152,10652732
8953,839,39766229
5295,171,34129043
6697,62,26486581
3866,955,95444697
7642,24,83646003
8776,486,768580
3655,762,79290951
10000,731,12972753
3641,364,47583054
8777,132,91428226
2128,101,71980270
9020,766,52750519
4570,228,49520767
9244,913,47676268
9271,15,34127551
8998,630,32725377
6440,902,75215248
5289,531,65545034
8166,344,82731847
9970,870,77220127
4903,456,19913469
8868,933,52642210
3717,723,57158648
6246,944,27331279
8142,551,52339851
4810,441,78440999
2515,755,14721076
8982,346,53572806
8625,627,80210542
6387,566,32568950
9592,277,39070623
4485,711,54475861
8916,413,47856561
5558,866,74662272
9258,892,31488297
6448,134,36210800
3012,299,92293557
188,975,98393992
2639,805,61322448
4036,902,11600350
2140,17,69151798
8651,489,5521845
7364,530,28957164
9452,751,7124549
4516,558,95260426
8011,78,87826524
1141,658,11313731
7213,224,59478041
6962,926,70896534
7545,974,43156245
3574,158,60126610
2578,351,35789123
7442,932,7438073
254,633,73849919
2637,871,9548398
6114,827,15451491
3935,27,96063699
5573,129,97810018
484,44,38100666
1870,856,56838596
2874,903,80357292
459,769,45542299
5600,174,19726366
9007,958,95098333
7752,476,18122404
2138,419,28640523
8732,551,94603941
9494,334,47540415
8278,901,33361840
5474,104,80861430
7953,395,68522148
8814,99,89317358
417,787,12758210
9763,632,94724066
9292,551,16341692
9751,785,6685331
3896,815,18924572
3755,142,99252052
7009,503,31817899
43,81,6485399
5635,863,72017456
9727,991,53555632
5562,806,46908155
2688,970,84353917
6546,320,40174631
5198,36,20290153
5854,48,44958572
5094,861,12109814
